,date,open price,high price,low price,close price,AVG price,adjusted close price,volume,value fluctuation,rate fluctuation
1764,2015-11-12,11.0,11.1,10.6,11.0,10.85,4.8100000000000005,564600,0.0,0.0
1765,2015-11-11,10.8,11.3,10.5,11.0,10.87,4.8100000000000005,810000,0.2,1.85
1766,2015-11-10,10.6,10.8,10.5,10.8,10.6,4.72,700200,0.1,0.93
1767,2015-11-09,10.4,10.8,10.3,10.7,10.6,4.67,637300,0.2,1.9
1768,2015-11-06,10.7,10.8,10.3,10.5,10.59,4.59,858100,-0.3,-2.78
1769,2015-11-05,11.3,11.3,10.8,10.8,11.08,4.72,525400,-0.5,-4.42
1770,2015-11-04,11.4,11.5,11.1,11.3,11.35,4.94,753430,-0.1,-0.88
1771,2015-11-03,11.1,11.4,10.9,11.4,11.14,4.98,710500,0.3,2.7
1772,2015-11-02,11.1,11.4,10.9,11.1,11.13,4.85,734500,-0.1,-0.89
1773,2015-10-30,10.4,11.2,10.4,11.2,10.68,4.89,1084800,0.7,6.67
1774,2015-10-29,10.2,10.5,10.2,10.5,10.4,4.59,524600,0.3,2.94
1775,2015-10-28,10.2,10.3,10.1,10.2,10.2,4.46,164900,0.0,0.0
1776,2015-10-27,10.6,10.6,10.2,10.2,10.35,4.46,267000,-0.4,-3.77
1777,2015-10-26,11.1,11.2,10.5,10.6,10.92,4.63,427400,-0.5,-4.5
1778,2015-10-23,11.5,11.7,11.1,11.1,11.47,4.85,652400,-0.4,-3.48
1779,2015-10-22,11.5,11.6,11.2,11.5,11.39,5.02,753030,0.0,0.0
1780,2015-10-21,10.3,11.5,10.3,11.5,11.31,5.02,557400,0.1,0.88
1781,2015-10-20,11.4,11.6,11.2,11.4,11.31,4.98,603600,-0.1,-0.87
1782,2015-10-19,11.6,11.6,11.3,11.5,11.41,5.02,740400,-0.1,-0.86
1783,2015-10-16,11.4,11.6,11.3,11.6,11.46,5.07,902500,0.2,1.75
1784,2015-10-15,11.2,11.5,11.1,11.4,11.31,4.98,719408,0.2,1.79
1785,2015-10-14,11.6,11.8,11.1,11.2,11.37,4.89,753600,-0.4,-3.45
1786,2015-10-13,11.7,11.7,11.4,11.6,11.6,5.07,731470,-0.2,-1.69
1787,2015-10-12,12.6,12.7,11.8,11.8,12.28,5.16,1126900,-0.9,-7.09
1788,2015-10-09,13.1,13.2,12.3,12.7,12.77,5.55,1304720,-0.4,-3.05
1789,2015-10-08,12.7,13.7,12.4,13.1,12.71,5.72,720700,0.4,3.15
1790,2015-10-07,12.0,12.8,11.8,12.7,12.18,5.55,1532100,0.3,2.42
1791,2015-10-06,11.4,12.4,11.4,12.4,11.89,5.42,1561160,0.8,6.9
1792,2015-10-05,11.4,11.7,11.4,11.6,11.58,5.07,747320,0.2,1.75
1793,2015-10-02,11.5,12.1,11.3,11.4,11.58,4.98,1419600,-0.2,-1.72
1794,2015-10-01,11.6,11.8,11.1,11.6,11.4,5.07,980700,0.0,0.0
1795,2015-09-30,11.4,11.6,10.9,11.6,11.23,5.07,1176448,0.1,0.87
1796,2015-09-29,11.5,11.6,11.0,11.5,11.24,5.02,578500,-0.1,-0.86
1797,2015-09-28,11.2,11.7,11.0,11.6,11.23,5.07,766600,0.3,2.65
1798,2015-09-25,11.7,11.7,10.9,11.3,11.26,4.94,760100,-0.5,-4.24
1799,2015-09-24,10.9,11.8,10.8,11.8,11.15,5.16,1550830,0.8,7.27
1800,2015-09-23,10.9,11.0,10.6,11.0,10.74,4.8100000000000005,780200,0.0,0.0
1801,2015-09-22,10.7,11.0,10.5,11.0,10.65,4.8100000000000005,716700,0.2,1.85
1802,2015-09-21,10.9,10.9,10.4,10.8,10.64,4.72,507300,0.0,0.0
1803,2015-09-18,10.2,10.9,10.2,10.8,10.63,4.72,544600,0.3,2.86
1804,2015-09-17,10.3,10.8,10.3,10.5,10.5,4.59,565000,0.0,0.0
1805,2015-09-16,10.4,10.5,10.1,10.5,10.3,4.59,374900,0.1,0.96
1806,2015-09-15,9.9,10.5,9.9,10.4,10.26,4.54,492100,0.3,2.97
1807,2015-09-14,9.8,10.1,9.8,10.1,9.93,4.41,270410,0.2,2.02
1808,2015-09-11,10.2,10.5,9.9,9.9,10.25,4.33,150520,-0.4,-3.88
1809,2015-09-10,10.1,10.4,10.0,10.3,10.26,4.5,385700,0.0,0.0
1810,2015-09-09,10.0,10.4,10.0,10.3,10.28,4.5,236110,0.2,1.98
1811,2015-09-08,9.7,10.3,9.6,10.1,10.1,4.41,204510,0.2,2.02
1812,2015-09-07,10.0,10.0,9.9,9.9,9.98,4.33,159500,0.0,0.0
1813,2015-09-04,9.6,9.9,9.6,9.9,9.8,4.33,252100,0.1,1.02
1814,2015-09-03,9.8,9.9,9.7,9.8,9.76,4.28,170600,-0.2,-2.0
1815,2015-09-01,10.5,10.7,10.0,10.0,10.31,4.37,280600,-0.6,-5.66
1816,2015-08-31,10.8,10.8,10.2,10.6,10.35,4.63,276030,0.1,0.95
1817,2015-08-28,9.8,10.5,9.8,10.5,10.18,4.59,549800,0.5,5.0
1818,2015-08-27,9.2,10.1,9.2,10.0,9.59,4.37,375000,0.7,7.53
1819,2015-08-26,8.7,9.3,8.7,9.3,9.17,4.06,101100,0.4,4.49
1820,2015-08-25,8.7,9.0,8.5,8.9,8.69,3.89,354800,0.2,2.3
1821,2015-08-24,9.2,9.3,8.2,8.7,8.88,3.8,128700,-0.3,-3.33
1822,2015-08-21,9.3,9.7,9.0,9.0,9.49,3.93,235900,-0.6,-6.25
1823,2015-08-20,9.6,9.9,9.5,9.6,9.8,4.19,329400,-0.2,-2.04
1824,2015-08-19,9.6,9.8,9.5,9.8,9.67,4.28,309100,0.2,2.08
1825,2015-08-18,9.5,9.7,9.4,9.6,9.57,4.19,291100,0.1,1.05
1826,2015-08-17,9.4,9.5,9.3,9.5,9.45,4.15,403700,0.1,1.06
1827,2015-08-14,9.3,9.4,9.2,9.4,9.36,4.11,291600,0.1,1.08
1828,2015-08-13,9.4,9.8,9.2,9.3,9.47,4.06,524500,-0.1,-1.06
